# This is an example data set for Data Plot
# originally a density profile from classical DFT (first datum artificial)
   1.00000000      0.190000000
   1.00000000      0.310288161      
   1.20000005      0.262882173     
   1.39999998      0.227272183       
   1.60000002      0.203751788      
   1.79999995      0.192472562     
   2.00000000      0.194064692    
   2.20000005      0.199573010    
   2.20499992      0.199651137    
   2.40000010      0.201155081    
   2.59999990      0.200847924    
   2.79999995      0.200144157    
   3.00000000      0.199819461        
   3.20000005      0.199865431    
   3.40000010      0.199974388    
   3.59999990      0.200024769      
   3.79999995      0.200021654    
   4.00000000      0.200004756    
   4.19999981      0.199996457    
   4.40000010      0.199996620     
   4.59999990      0.199999124    
   4.80000019      0.200000495    
   5.00000000      0.200000525 
   5.20000000      0.200000200
   5.40000000      0.200000050
   5.60000000      0.200000000
   5.80000000      0.200000000
   6.00000000      0.200000000   
